"Starting City","Ending City","Kilometers"
"Amsterdam","Berlin","655"
"Amsterdam","Brussels","236"
"Amsterdam","Budapest","1395"
"Amsterdam","Hamburg","361"
"Amsterdam","Lisbon","2236"
"Amsterdam","London","541"
"Amsterdam","Madrid","1767"
"Amsterdam","Paris","430"
"Amsterdam","Prague","878"
"Amsterdam","Rome","1647"
"Berlin","Amsterdam","655"
"Berlin","Brussels","765"
"Berlin","Budapest","873"
"Berlin","Hamburg","288"
"Berlin","Lisbon","2779"
"Berlin","London","678"
"Berlin","Madrid","2392"
"Berlin","Paris","1054"
"Berlin","Prague","349"
"Berlin","Rome","1502"
"Brussels","Amsterdam","236"
"Brussels","Berlin","765"
"Brussels","Budapest","1353"
"Brussels","Hamburg","489"
"Brussels","Lisbon","2357"
"Brussels","London","403"
"Brussels","Madrid","1578"
"Brussels","Paris","313"
"Brussels","Prague","898"
"Brussels","Rome","1483"
"Budapest","Amsterdam","1395"
"Budapest","Berlin","873"
"Budapest","Brussels","1353"
"Budapest","Hamburg","1163"
"Budapest","Lisbon","3069"
"Budapest","London","1707"
"Budapest","Madrid","2512"
"Budapest","Paris","1485"
"Budapest","Prague","525"
"Budapest","Rome","1274"
"Hamburg","Amsterdam","361"
"Hamburg","Berlin","288"
"Hamburg","Brussels","489"
"Hamburg","Budapest","1163"
"Hamburg","Lisbon","2121"
"Hamburg","London","930"
"Hamburg","Madrid","2171"
"Hamburg","Paris","376"
"Hamburg","Prague","640"
"Hamburg","Rome","1658"
"Lisbon","Amsterdam","2236"
"Lisbon","Berlin","2779"
"Lisbon","Brussels","2357"
"Lisbon","Budapest","3069"
"Lisbon","Hamburg","2121"
"Lisbon","London","2189"
"Lisbon","Madrid","625"
"Lisbon","Paris","1736"
"Lisbon","Prague","2707"
"Lisbon","Rome","2510"
"London","Amsterdam","541"
"London","Berlin","678"
"London","Brussels","403"
"London","Budapest","1707"
"London","Hamburg","930"
"London","Lisbon","2189"
"London","Madrid","1719"
"London","Paris","464"
"London","Prague","1265"
"London","Rome","1866"
"Madrid","Amsterdam","1767"
"Madrid","Berlin","2392"
"Madrid","Brussels","1578"
"Madrid","Budapest","2512"
"Madrid","Hamburg","2171"
"Madrid","Lisbon","625"
"Madrid","London","1719"
"Madrid","Paris","1633"
"Madrid","Prague","2312"
"Madrid","Rome","1951"
"Paris","Amsterdam","430"
"Paris","Berlin","1054"
"Paris","Brussels","313"
"Paris","Budapest","1485"
"Paris","Hamburg","376"
"Paris","Lisbon","1736"
"Paris","London","464"
"Paris","Madrid","1633"
"Paris","Prague","1030"
"Paris","Rome","1442"
"Prague","Amsterdam","878"
"Prague","Berlin","349"
"Prague","Brussels","898"
"Prague","Budapest","525"
"Prague","Hamburg","640"
"Prague","Lisbon","2707"
"Prague","London","1265"
"Prague","Madrid","2312"
"Prague","Paris","1030"
"Prague","Rome","1303"
"Rome","Amsterdam","1647"
"Rome","Berlin","1502"
"Rome","Brussels","1483"
"Rome","Budapest","1274"
"Rome","Hamburg","1658"
"Rome","Lisbon","2510"
"Rome","London","1866"
"Rome","Madrid","1951"
"Rome","Paris","1442"
"Rome","Prague","1303"
